strain,gama1,gama2,gama3,gama4,gama5,gama6
0.005,45.95759634698092,6.073270528095221,3.374833270832911,1.1373270840858296,0.7453908420870949,0.5836490150822884
0.01,49.84346563774742,12.055778397160445,3.650978143499143,2.9794783557037623,0.9029216383338401,9.400359383778097
0.015,52.32444166316887,16.577056772458516,5.269570744262595,4.376627745865702,11.76586881257725,2.811457285955864
0.02,53.2917315832878,20.394963759781522,5.955917498454672,4.778590227950781,12.590098798837907,5.219855538377381
0.025,53.75918033104392,23.913794346036575,5.079234791689545,6.486078642463372,5.812907645142064,13.089994444855447
0.03,53.94880925476974,23.088532553257327,6.6921585116643,5.326224785309298,5.843805343023993,13.417517807351501
