strain,gama1,gama2,gama3,gama4,gama5,gama6
0.005,81.166516251961,17.390951339793176,6.168904018556262,11.465604903486755,9.015480592107108,7.553756926396898
0.01,80.71460513835267,17.262668976580468,6.159663643799579,11.474673838340026,9.039842402747992,7.601164529072272
0.015,53.78345173906949,19.06497034220535,1.191342090372972,9.734337313178862,7.671750204823769,9.078435112533846
0.02,57.019895884654744,17.054701233587096,3.678593227815302,10.793620852290282,7.755764718414744,9.129284756401578
0.025,58.78531649553554,4.90752585523089,15.736503917303093,10.878073052149253,7.8462424609530785,9.18778911109983
0.03,59.85060840786202,14.742177324900176,5.593535320110853,10.91849658005132,7.936663062627483,9.251203708350241
