strain,Kv,Kr,Gv,Gr,Ev,Er
0.005,5.743,5.091,3.168,1.907,8.028,5.086
0.01,5.752,5.099,3.172,1.915,8.038,5.105
0.015,5.767,5.112,3.178,1.927,8.054,5.136
0.02,5.788,5.131,3.194,1.979,8.093,5.261
0.025,5.816,5.155,3.198,1.967,8.107,5.235
0.03,5.850,5.183,3.212,1.994,8.144,5.302
