strain,gama1,gama2,gama3,gama4,gama5,gama6
0.005,43.05154697132404,18.706433238753068,17.41265280552347,5.824994655807102,6.620946446344924,7.848787244004659
0.01,43.21101724353794,19.97981479548201,17.930000789141314,6.202896501435416,8.644626249610546,7.484351371168628
0.015,44.14431305683608,23.051751961333657,19.08719572690527,10.422917988325235,8.327013377882402,7.9796370489134585
0.02,43.861626379497906,22.5169851991424,18.996115242004844,8.236964673254308,8.258577723407457,10.328938235458278
0.025,44.02554001392922,23.128808433905363,19.81475783094448,8.01462487444704,11.08284841253114,8.770085362395049
0.03,43.89050067566478,23.072965256228557,18.756112023764953,8.809685138700914,9.13706200860974,11.656347160477841
