strain,gama1,gama2,gama3,gama4,gama5,gama6
0.005,21.439642906595793,7.20865343241435,3.2596711637686355,1.4101515837245344,1.5993938856401422,-0.1276658777997667
0.01,21.21907089365691,6.806286100874301,3.2384263927364523,1.3920038525761846,1.5960089927304413,-0.12536893958169387
0.015,20.859743388066892,3.1986023522827685,5.51747711024764,1.3573944550725696,1.5924384454023852,-0.5677789695473896
0.02,20.343724990561313,3.142619354619322,1.2926723702214329,1.5913765094421124,-1.7001624317929163,-0.2895035151244282
0.025,20.439066360726112,3.0781461942985504,1.4345884528540405,1.5999879349806947,0.303757506284371,0.1748797589153995
0.03,19.948907703861206,2.990072959022934,1.6247830594856407,1.5493830084823546,1.4631547650877927,1.4491423589173467
