strain,Kv,Kr,Gv,Gr,Ev,Er
0.005,14.349,14.348,7.728,7.380,19.656,18.900
0.01,14.399,14.393,8.316,7.972,20.921,20.188
0.015,14.629,14.526,9.640,9.343,23.712,23.080
0.02,14.550,14.467,9.592,9.330,23.593,23.036
0.025,14.601,14.526,9.944,9.635,24.312,23.672
0.03,14.547,14.439,10.184,9.916,24.772,24.208
