strain,Kv,Kr,Gv,Gr,Ev,Er
0.005,26.835,24.433,8.029,6.518,21.903,17.958
0.01,26.689,24.350,8.030,6.516,21.895,17.948
0.015,16.165,3.392,8.027,2.619,20.661,6.248
0.02,18.142,11.346,7.940,5.302,20.787,13.763
0.025,19.021,14.625,7.883,5.935,20.778,15.684
0.03,19.525,16.312,7.843,6.186,20.749,16.476
