strain,Kv,Kr,Gv,Gr,Ev,Er
0.005,8.950,8.950,9.250,4.422,20.639,11.391
0.01,8.955,8.955,9.252,4.420,20.646,11.386
0.015,8.966,8.966,9.255,4.414,20.658,11.376
0.02,8.981,8.981,9.261,4.407,20.676,11.363
0.025,9.003,9.003,9.268,4.397,20.701,11.345
0.03,9.030,9.030,9.276,4.385,20.730,11.323
