strain,Kv,Kr,Gv,Gr,Ev,Er
0.005,7.107,6.664,2.212,-0.989,6.013,-3.121
0.01,7.038,6.641,2.127,-0.968,5.797,-3.053
0.015,6.923,6.590,1.772,4.408,4.897,10.813
0.02,6.759,6.509,0.370,-4.036,1.090,-15.263
0.025,6.778,6.401,0.876,0.429,2.521,1.258
0.03,6.600,6.097,1.373,1.273,3.853,3.570
