strain,gama1,gama2,gama3,gama4,gama5,gama6
0.005,26.85093819492826,37.45849068106331,37.45844254661447,2.9302115586928505,2.9300043316042776,2.930023184373758
0.01,26.864490275480506,37.47487128803503,37.47478811558465,2.928305252265399,2.9281209855478036,2.9281377507920823
0.015,26.896990139687503,37.505721816724154,37.505628093966024,2.9238081885389384,2.923860100882344,2.9240120925268758
0.02,26.944488385471537,37.54967720995697,37.54957185137519,2.9183183274143327,2.918147076539899,2.9181656869112715
0.025,27.010414366440614,37.607177158453226,37.607064487982726,2.910746529589104,2.910574258809153,2.9105899701202165
0.03,27.091223004166793,37.67609911688635,37.67595129784122,2.9013853084080905,2.9014858881322465,2.9015460796661623
