name,Bo,R^2
OWIZAW_clean,12.35,1.000
OYIVEY_clean,23.18,1.000
PAMHIW_clean,15.60,1.000
PARNIH_clean,2.16,0.989
PARNON_clean,7.58,1.000
PEWLUA_clean,3.34,1.000
PODKOK_clean,-0.00,0.817
PODKUQ_clean,0.36,1.000
QAGDIO_clean,16.57,1.000
QAQMON_clean,1.72,1.000
QIYDAF_clean,18.05,1.000
QIYDEJ_clean,19.87,0.999
QIYDIN01_clean,14.77,1.000
QIYDIN_clean,8.82,1.000
QIYDOT_clean,9.86,1.000
QOWQUO_manual,5.77,0.999
QOWRAV02_clean,5.52,0.999
QOWRAV03_clean,5.54,0.999
QOWRAV04_clean,5.52,0.999
QOWRAV05_clean,5.53,0.999
QOWRAV06_clean,5.52,0.999
QOWRAV07_clean,5.52,0.999
QOWRAV08_clean,5.52,0.999
QOWRAV09_clean,5.53,0.999
QOWRAV10_clean,5.53,0.999
QOWRAV11_clean,5.52,0.999
QOWRAV12_clean,5.53,0.999
QULKIS_charged,10.79,1.000
RAHNOF_clean,30.35,1.000
REWNEO01_clean,3.34,1.000
REWNEO_clean,7.43,1.000
REYMOZ_clean,31.22,0.998
RICBEM_clean,3.68,1.000
RIFGAQ_clean,31.24,0.997
RIPKIM01_clean,22.49,1.000
RIPKIM_clean,28.29,1.000
RUFZID_clean,1.41,0.956
RUPTED_clean,22.14,1.000
RUVKAV_clean,26.41,1.000
SONTUL_neutral_b,22.75,1.000
SONVAT_neutral_b,33.43,1.000
SONVEX_neutral_b,33.42,1.000
SONVIB_neutral_b,33.42,1.000
SOYWOT_neutral_b,33.43,1.000
SOYWUZ_clean,31.79,1.000
SUJNUH_clean,12.62,1.000
SUKYIH_clean,27.35,1.000
SUKYON_clean,17.78,0.994
TEMPEI_clean,14.07,1.000
TIJPOT_clean,20.43,1.000
TISPAO_clean,33.35,1.000
UCOCUM_neutral,33.43,1.000
UDEGIW_clean,37.58,0.995
UHASED_clean,41.30,1.000
USEVOF_clean,26.48,1.000
UVEVUN_clean,31.88,0.981
UVIPIZ_clean,31.95,1.000
UVIPOF_clean,32.15,1.000
UXISUR_clean,31.17,0.998
UZUNAF01_clean,32.54,1.000
UZUNAF_clean,32.56,1.000
VETMIS_clean,1.45,1.000
VOGPEO_clean,8.50,1.000
VUHJAK_clean,47.06,1.000
WAMREJ_clean,12.82,0.998
WAQKUX_clean,8.94,1.000
WIZKOH_clean,5.57,1.000
WOCWAN_clean,44.56,1.000
WOHBIF_clean,57.53,1.000
WOLFAG_clean,17.22,0.988
WORREC_clean,27.62,0.999
WOYJIF_clean,18.76,1.000
WOYJOL_clean,14.33,1.000
WUKXEH_clean,6.76,1.000
WULJUJ_clean,33.03,1.000
WULKAQ_clean,31.28,0.997
XADDEN_manual,33.42,1.000
XADDIR_manual,33.42,1.000
XAFFOB_clean,7.64,0.998
XAFFUH_clean,3.24,1.000
XAHPIH_clean,3.49,1.000
XAKQOR_clean,109.81,0.927
XALXUF01_clean,6.01,1.000
XALXUF_clean,4.74,1.000
XAMDUM01_clean,33.42,1.000
XAMDUM02_clean,33.43,1.000
XAMDUM03_clean,33.42,1.000
XAMDUM04_clean,33.42,1.000
XAMDUM05_clean,33.42,1.000
XAMDUM06_clean,33.42,1.000
XAMDUM_clean,33.42,1.000
XAWVUN_clean,3.44,1.000
XEBHOC_clean,13.24,1.000
XITYOP_clean,25.79,1.000
XOPLOE_clean,4.98,1.000
XOVPUU_clean,11.16,0.984
XUDNUH_clean,12.81,0.999
XUDPIX_clean,2.73,0.994
XUGROI_clean,10.83,1.000
YABHER_clean,10.78,0.999
YAVWUQ_clean,6.44,1.000
YEKXOD_clean,14.24,1.000
YEKXUJ_clean,23.78,1.000
YOCLEJ_clean,33.42,1.000
YOCLIN_clean,33.42,1.000
YOZNAE_clean,31.35,0.997
YUGLES_clean,31.07,1.000
YUSWEP_manual,0.77,1.000
ZACHIX_clean,33.03,1.000
ZAHLEC_clean,1.74,0.998
ZIKJIO_clean,17.15,1.000
ZILFOR_manual,22.25,1.000
ZOXGOK_clean,11.17,1.000
c4ce00408f_c4ce00408f2_clean,38.42,0.999
