name,gamma1,gamma2,gamma3,gamma4,gamma5,gamma6
ACAJIZ_clean,94.8261861,20.82168585,29.39728302,7.827908725,7.39916733,33.41664839
ACAJOF_clean,22.30370755,0.905052761,15.69233453,11.9338716,8.769365916,13.77654067
ACUFEK_clean,41.22294914,2.992888857,-0.254638185,-0.487188939,1.747438102,1.383585592
ADASAB_charged,1.27447883,0.572476566,0.125140932,0.141974747,0.344385882,0.387111445
ADASEF_clean,5.553382487,5.066512093,4.549238198,2.111441454,1.572610793,1.622620059
ADASIJ_clean,6.821477397,6.079128666,4.753445255,2.102423167,2.840016166,2.186375167
ADATEG_manual,3.886843207,0.883898444,0.756940307,0.354179919,0.125062584,0.122548774
AGOFEJ_clean,10.72973345,4.255912169,0.361251864,0.067654679,2.174280838,2.955619225
ALAMUW_clean,72.21695572,12.19063885,7.511043809,3.644728404,1.244284325,1.157482376
ANOMUM_clean,106.1864487,24.50032691,15.3236568,0.008486596,0.914846404,0.716303688
ANONAT_manual,102.0175656,23.39387323,16.5860167,0.080530716,0.785601144,0.752764161
ANUGEW_clean,52.50437888,0.068799852,3.669812708,4.372775084,1.776476913,2.114402124
ANUGIA_clean,55.76195422,33.89420506,32.18656059,0.315653375,0.984823923,0.922844149
ANUGOG_clean,60.09085701,33.32842625,0.215192793,0.877948617,1.641531395,2.673895955
ASIVAB_clean,44.04071194,8.473961533,-0.035126253,1.739494169,0.54107877,0.590645238
AVAJUE_clean,5.767758853,0.043539315,0.043531904,0.243614376,0.243533101,0.243556341
AVAKAL_clean,6.69895207,0.080157566,0.080248353,0.034748657,0.034912474,0.035091931
AVAKEP_clean,16.56899723,0.16107448,0.155067406,0.104756716,0.095504883,0.088213998
AVEHAM_clean,74.71544563,7.616369546,3.406367108,28.90096388,30.12375196,3.097469834
AYOQEM_clean,59.28991098,10.87113877,7.397405398,6.441802554,0.881936194,1.486840785
AZAWAB_clean,101.4074247,6.983846477,4.55562438,0.77799762,1.28609949,1.740921459
BARZOK_clean,49.79973823,27.62529416,4.305178375,5.911881024,12.75051055,11.80574608
BAZFUF01_clean,41.43877514,0.335573077,0.335659515,0.170822142,0.170844147,0.170862757
BAZFUF_clean,41.43843822,0.336069117,0.336192083,0.171154892,0.171187919,0.171195815
BAZGAM_clean,6.597975928,0.621694448,0.488348572,0.014275128,-0.001494899,0.20657245
BAZGEQ_clean,35.59900834,0.567298635,0.921533475,0.001820334,-0.458756455,-0.456851663
BEXSII_clean,18.00645426,12.31065382,8.402588822,1.528135506,0.566936948,0.200821436
BEXVEH_clean,59.71390857,19.9584571,7.442344299,3.464275586,11.92810881,2.379431033
BIMDEF_clean,143.1908532,47.10021605,33.56827586,5.755717978,10.67933627,12.29682943
BIMDIL_clean,186.3838097,47.99410574,33.03340967,5.909668767,11.55773514,11.55534509
BINROH_clean,33.48326383,1.679591321,1.679536117,2.294465948,2.293273471,2.29318327
BIPSUQ_clean,14.45452751,1.671635655,0.380184738,0.826665013,4.074404241,4.075730338
BODPAN_clean,100.6585283,10.49793924,10.4992538,9.060275507,9.063035765,9.06227633
BOYCEY_auto,67.6277618,11.76374576,7.015700564,1.676143514,1.52571858,3.777243863
BUSQUC_clean,181.6036211,116.7866906,68.41305503,0.61313778,2.70247501,3.739456202
BUXNOZ_clean,77.29327583,0.492294716,14.79671529,14.29473285,3.657849067,3.918752813
CAJQEL_clean,52.52142802,15.78182343,8.872790652,0.207295709,3.161290259,5.699953055
CAJQIP_clean,44.48963325,9.054920991,8.558062424,-0.341118713,0.357695023,0.239047773
CAVPIA_manual,17.68297833,16.79996396,15.71712277,1.510163838,1.674927306,1.651043529
CEJCAW_clean,74.62958073,45.77528627,20.83224943,0.972958693,1.740714431,2.282792435
CIRTUU_clean,8.767122215,4.843202012,3.037770013,1.413711995,2.120028746,2.119862114
CUYWUP_clean,25.29276755,0.662039207,1.240573661,1.659299872,2.733967456,2.362159292
DAKVUI_clean,80.71663215,17.26314014,6.159824672,11.47521863,9.0397005,7.601980058
DEYNIG_clean,113.4122468,25.08494195,11.80441271,7.9543049,6.803918732,2.075102814
DICKEH_clean,83.59565963,20.51302495,18.19095498,9.563029053,5.196675088,4.298839975
DIHVIB01_clean,100.7494892,10.51435669,10.5136032,9.117173546,9.118999468,9.119241073
DIHVIB_clean,100.7604381,10.51552516,10.51609693,9.125013232,9.125381085,9.125504693
DOKDEN_clean,43.45453585,35.09262807,23.90983433,14.27537308,1.494697761,2.215313754
DOPHOH_clean,26.86282572,37.47485938,37.47487119,2.928125939,2.928101294,2.928075246
DOPHUN_clean,26.86449028,37.47487129,37.47478812,2.928305252,2.928120986,2.928137751
DOPJAV_clean,30.47096184,9.943650029,3.430278241,7.745323219,4.871080753,4.659466968
DUGMOJ_clean,33.22034776,10.26590832,2.429349101,4.200428065,5.400217988,5.400093269
EBAMUS_clean,34.18365731,4.702651215,4.703308339,2.451656823,2.452756829,2.452822056
EBATUZ_clean,23.30191112,8.285016455,5.830135682,4.198692136,0.805014523,0.864457248
